,lon,lat,field,inv,res
2,103.75,27.5,38.38037,40.05309551372626,-1.672725513726263
3,103.75,30.5,38.38037,40.050910558505365,-1.6705405585053654
0,101.25,27.5,38.741465999999996,36.28779174698755,2.4536742530124442
1,101.25,30.5,38.741465999999996,36.285723955138685,2.45574204486131
2,103.75,27.5,38.741465999999996,36.28779174698754,2.4536742530124585
3,103.75,30.5,38.741465999999996,36.28572395513868,2.455742044861317
0,101.25,27.5,31.243381,32.7753946831921,-1.5320136831920976
1,101.25,30.5,31.243381,32.77360341625135,-1.5302224162513482
2,103.75,27.5,31.243381,32.77539468319208,-1.5320136831920834
3,103.75,30.5,31.243381,32.77360341625133,-1.530222416251334
0,101.25,27.5,31.623924,29.728756219295622,1.8951677807043765
1,101.25,30.5,31.623924,29.727022397258487,1.8969016027415115
2,103.75,27.5,31.623924,29.728756219295597,1.8951677807044014
3,103.75,30.5,31.623924,29.727022397258487,1.8969016027415115
0,101.25,27.5,23.760218,27.11417052319743,-3.3539525231974316
1,101.25,30.5,23.760218,27.11238438830571,-3.3521663883057116
2,103.75,27.5,23.760218,27.114170523197433,-3.353952523197435
3,103.75,30.5,23.760218,27.112384388305703,-3.3521663883057045
0,101.25,27.5,26.469064000000003,25.061826890248554,1.4072371097514491
1,101.25,30.5,26.469064000000003,25.05961878364292,1.4094452163570814
2,103.75,27.5,26.469064000000003,25.06182689024855,1.4072371097514527
3,103.75,30.5,26.469064000000003,25.05961878364291,1.409445216357092
0,101.25,27.5,25.646328,23.251778622612065,2.3945493773879356
1,101.25,30.5,25.646328,23.249413650812578,2.3969143491874227
2,103.75,27.5,25.646328,23.25177862261203,2.394549377387971
3,103.75,30.5,25.646328,23.249413650812574,2.3969143491874263
0,101.25,27.5,29.165719,21.47972204575208,7.685996954247919
1,101.25,30.5,29.165719,21.477991456034225,7.687727543965774
2,103.75,27.5,29.165719,21.47972204575206,7.6859969542479405
3,103.75,30.5,29.165719,21.477991456034204,7.687727543965796
0,101.25,27.5,19.053712,19.777106008383292,-0.7233940083832913
1,101.25,30.5,19.053712,19.777007358643697,-0.7232953586436963
2,103.75,27.5,19.053712,19.777106008383278,-0.723394008383277
3,103.75,30.5,19.053712,19.777007358643683,-0.7232953586436821
0,101.25,27.5,9.526957000000001,19.038880141684725,-9.511923141684724
1,101.25,30.5,9.526957000000001,19.04011820414469,-9.513161204144689
2,103.75,27.5,9.526957000000001,19.03888014168472,-9.51192314168472
3,103.75,30.5,9.526957000000001,19.04011820414466,-9.51316120414466
0,101.25,27.5,16.986513000000002,20.03497812188554,-3.0484651218855383
1,101.25,30.5,16.986513000000002,20.03595924873632,-3.0494462487363165
2,103.75,27.5,16.986513000000002,20.034978121885537,-3.0484651218855348
3,103.75,30.5,16.986513000000002,20.035959248736294,-3.0494462487362917
0,101.25,27.5,29.669459000000003,22.374985612691425,7.294473387308578
1,101.25,30.5,29.669459000000003,22.374732768222483,7.2947262317775206
2,103.75,27.5,29.669459000000003,22.374985612691432,7.294473387308571
3,103.75,30.5,29.669459000000003,22.374732768222472,7.294726231777531
0,101.25,27.5,19.949707999999998,25.268610970193873,-5.318902970193875
1,101.25,30.5,19.949707999999998,25.26730969293408,-5.317601692934083
2,103.75,27.5,19.949707999999998,25.268610970193873,-5.318902970193875
3,103.75,30.5,19.949707999999998,25.267309692934063,-5.3176016929340655
0,101.25,27.5,33.168696000000004,28.741112857192256,4.427583142807748
1,101.25,30.5,33.168696000000004,28.738528283792885,4.430167716207119
2,103.75,27.5,33.168696000000004,28.74111285719227,4.427583142807734
3,103.75,30.5,33.168696000000004,28.738528283792867,4.430167716207137
0,101.25,27.5,32.597981,32.139547591357214,0.45843340864278304
1,101.25,30.5,32.597981,32.13630496685462,0.4616760331453804
2,103.75,27.5,32.597981,32.13954759135723,0.4584334086427688
3,103.75,30.5,32.597981,32.136304966854624,0.4616760331453733
0,101.25,27.5,43.241788,35.27562361921528,7.9661643807847184
1,101.25,30.5,43.241788,35.27234767676331,7.9694403232366895
2,103.75,27.5,43.241788,35.27562361921529,7.966164380784711
3,103.75,30.5,43.241788,35.272347676763346,7.969440323236654
0,101.25,27.5,30.695459999999997,37.95062813895251,-7.255168138952513
1,101.25,30.5,30.695459999999997,37.94805440614545,-7.252594406145455
2,103.75,27.5,30.695459999999997,37.95062813895252,-7.25516813895252
3,103.75,30.5,30.695459999999997,37.94805440614547,-7.2525944061454695
0,101.25,27.5,44.19917,40.83468407064122,3.3644859293587857
1,101.25,30.5,44.19917,40.83231275457377,3.3668572454262318
2,103.75,27.5,44.19917,40.834684070641224,3.3644859293587785
3,103.75,30.5,44.19917,40.83231275457381,3.366857245426189
0,101.25,27.5,43.960772999999996,43.66577985399011,0.2949931460098867
1,101.25,30.5,43.960772999999996,43.6637483244846,0.29702467551539513
2,103.75,27.5,43.960772999999996,43.6657798539901,0.2949931460098938
3,103.75,30.5,43.960772999999996,43.66374832448463,0.2970246755153667
