,lon,lat,field,inv,res,res
0,102.26,28.735,-24.868205,-11.008396684236725,-13.859808315763274,-13.859808315763274
1,102.18,28.445999999999998,-16.306888,-12.203963323833708,-4.1029246761662925,-4.1029246761662925
2,102.178,28.256999999999998,-14.865870000000001,-12.483996580214512,-2.3818734197854887,-2.3818734197854887
3,102.186,28.144000000000002,-32.07227,-12.941960297493775,-19.130309702506228,-19.130309702506228
4,102.324,27.32,-19.37181,-26.417487260701485,7.045677260701485,7.045677260701485
5,102.28399999999999,27.194000000000003,-38.086490999999995,-27.976333876293737,-10.110157123706259,-10.110157123706259
6,102.25200000000001,27.105,-39.053946,-28.989547613667284,-10.06439838633272,-10.06439838633272
7,102.245,26.651,-37.806671,-33.3110843173142,-4.495586682685804,-4.495586682685804
8,102.44,26.561999999999998,-40.881483,-33.046319935770725,-7.8351630642292776,-7.8351630642292776
9,102.602,26.658,-42.296969,-32.71706819956733,-9.579900800432668,-9.579900800432668
10,102.626,26.704,-23.588335,-32.58052880429186,8.992193804291858,8.992193804291858
11,102.727,26.793000000000003,-28.919503000000002,-31.551578458552818,2.6320754585528157,2.6320754585528157
12,102.846,26.941999999999997,-47.972838,-27.812635671696313,-20.16020232830369,-20.16020232830369
13,102.87700000000001,26.965,-46.62559,-26.457775354205115,-20.167814645794888,-20.167814645794888
14,102.51700000000001,27.441999999999997,-21.776864,-20.742369907626326,-1.0344940923736736,-1.0344940923736736
15,102.456,27.533,-24.638827,-17.721849000533613,-6.916977999466386,-6.916977999466386
16,102.428,27.625,-21.15985,-15.362641312140758,-5.797208687859241,-5.797208687859241
17,101.834,30.041999999999998,28.130098999999998,14.319781595398126,13.810317404601872,13.810317404601872
18,101.77,30.069000000000003,8.493641,15.867681673556307,-7.374040673556307,-7.374040673556307
19,101.61,30.076,-3.053512,16.514939009992208,-19.56845100999221,-19.56845100999221
20,101.54,30.034000000000002,-3.507537,14.660346133641607,-18.167883133641606,-18.167883133641606
21,102.361,29.239,-34.618541,-4.782127113931487,-29.836413886068513,-29.836413886068513
22,101.505,29.136999999999997,-22.130473000000002,-9.294493000737713,-12.835979999262289,-12.835979999262289
23,101.50399999999999,29.005,-27.175635999999997,-11.082998935189762,-16.092637064810233,-16.092637064810233
24,101.53,30.289,29.572476,20.769050973653727,8.803425026346275,8.803425026346275
25,101.179,30.941,19.601485999999998,29.543250438218557,-9.94176443821856,-9.94176443821856
26,100.729,31.337,38.774052000000005,31.84500953536564,6.929042464634364,6.929042464634364
27,103.881,30.813000000000002,7.626022,5.556738669610934,2.069283330389066,2.069283330389066
28,103.59100000000001,30.976999999999997,3.064852,5.2764259429565055,-2.2115739429565053,-2.2115739429565053
29,103.48,31.098000000000003,16.243514,5.255230585386793,10.988283414613207,10.988283414613207
30,103.475,31.326,-9.722564,3.824037714402138,-13.546601714402138,-13.546601714402138
31,103.56700000000001,31.46,-4.238139,0.4003385872877874,-4.638477587287788,-4.638477587287788
32,103.789,31.629,-24.237125,-4.9120705290405375,-19.32505447095946,-19.32505447095946
33,104.09899999999999,31.779,-20.478304,-4.809567802565919,-15.668736197434082,-15.668736197434082
34,104.294,31.863000000000003,-5.026841,-4.091028834201329,-0.9358121657986711,-0.9358121657986711
35,104.50299999999999,31.86,4.043322,-2.8618311317971403,6.905153131797141,6.905153131797141
36,104.685,31.679000000000002,-1.0585440000000002,-1.5368753525458687,0.47833135254586856,0.47833135254586856
37,104.726,31.44,-7.030061999999999,1.4169909163036027,-8.447052916303601,-8.447052916303601
38,104.443,31.283,16.912423,2.2419658108795604,14.670457189120441,14.670457189120441
39,104.524,31.151999999999997,20.220948999999997,2.979379894707327,17.24156910529267,17.24156910529267
40,104.198,30.883000000000003,16.482142,4.740987454598018,11.741154545401981,11.741154545401981
41,103.88600000000001,30.444000000000003,-0.126883,6.9888302194459175,-7.115713219445918,-7.115713219445918
42,103.478,30.415,7.146278999999999,11.400274792086728,-4.253995792086729,-4.253995792086729
43,103.215,30.146,9.149964,15.802616842231263,-6.652652842231262,-6.652652842231262
44,103.01100000000001,29.980999999999998,25.919151,18.4453439528221,7.4738070471779,7.4738070471779
45,102.90799999999999,30.090999999999998,20.507732,18.20268273208943,2.3050492679105723,2.3050492679105723
46,102.91799999999999,30.156999999999996,16.63273,17.931623914103284,-1.2988939141032851,-1.2988939141032851
47,102.78299999999999,30.335,20.116112,17.66048336307399,2.4556286369260114,2.4556286369260114
48,102.883,30.471999999999998,13.682673999999999,15.804508878487418,-2.1218348784874195,-2.1218348784874195
49,102.758,30.663,-3.128884,13.289439262091566,-16.418323262091565,-16.418323262091565
50,102.637,30.965999999999998,-4.341667,11.473619968870814,-15.815286968870815,-15.815286968870815
51,102.406,31.019000000000002,7.531382000000001,11.905788550172783,-4.3744065501727825,-4.3744065501727825
52,102.479,31.287,16.456838,9.486562720210731,6.97027527978927,6.97027527978927
53,102.48899999999999,31.485,-2.0207509999999997,7.515138277079808,-9.535889277079807,-9.535889277079807
54,102.324,31.660999999999998,13.335975,5.777936701238499,7.558038298761501,7.558038298761501
55,102.288,31.865,-13.254855,4.608851382767677,-17.863706382767674,-17.863706382767674
56,102.62899999999999,31.865,3.7654589999999994,4.304097354172306,-0.5386383541723068,-0.5386383541723068
57,102.78,31.663,20.331856,5.189687641607167,15.142168358392832,15.142168358392832
58,102.90700000000001,31.531999999999996,-4.671551999999999,5.880560332797442,-10.552112332797442,-10.552112332797442
59,103.09100000000001,31.4,14.767116,6.5049162503821165,8.262199749617883,8.262199749617883
