,obs,dxx,dyy,dxy,dtt,abic_val
422,0.002766269494717631,0.6449304411482346,2.6174667829843377,2.542175711737297,2.4788773233960257,5683.673100050117
423,0.002766275929943154,0.6451010722662428,2.619663402858827,2.543265905973321,2.4794029139990785,5683.67310438964
424,0.002766653409680618,0.6449360529331171,2.6173984132446897,2.5421184809255863,2.47882056353018,5683.673103751128
425,0.0027663945047054685,0.6448981430625012,2.617014499655589,2.541949438076922,2.4787527791046133,5683.6730946220705
426,0.0027664148204838645,0.6448173211438327,2.615980644538599,2.54144374130001,2.4784983574051087,5683.673088249465
427,0.0027663587354600084,0.6449147430695221,2.6172490012911007,2.542072856574086,2.478810477690367,5683.673089783606
428,0.0027665136598026764,0.6449311794573785,2.6174158651784167,2.5421536200647443,2.478830805627742,5683.67308394666
429,0.00276663285024046,0.6449224393924398,2.617280357665064,2.542091970378311,2.4787797023474276,5683.67307362483
430,0.0027666557989655554,0.6447073838845598,2.6144891177758804,2.5406958192026607,2.4781118167060154,5683.673088021509
431,0.0027662792744862583,0.6447808763941214,2.615587771016743,2.5412735036183323,2.4784104920938805,5683.673075164317
432,0.0027666671032665676,0.6447266701677942,2.614768242938056,2.540855507651994,2.478167039288766,5683.673065906477
433,0.0027668659289718125,0.644624808822503,2.6134200163909287,2.5401956627350155,2.477811973559145,5683.6730549541835
434,0.002766780734891996,0.6446264053273362,2.613454876493239,2.540207598899743,2.4778345106327597,5683.673063765409
435,0.0027668710187969073,0.644647436374796,2.6137118948531253,2.540341997225469,2.477881024965136,5683.673051669099
436,0.0027670991461638352,0.6445625107753236,2.6125782579701746,2.5397913043079985,2.4775724164083655,5683.673039148007
437,0.002766807350271797,0.6446994057682455,2.6144382579003356,2.5407279144458643,2.4780517418968637,5683.673026411551
438,0.0027668831290380068,0.6446954167471113,2.6144128283335832,2.5407439622195067,2.478021705038419,5683.672996215626
439,0.0027674255516209048,0.6445917455420271,2.6128704510033813,2.539938617872699,2.4775976288520796,5683.673029815438
440,0.00276738897817235,0.6443180541011553,2.6094199741616944,2.5382602913975325,2.476755993524152,5683.673025902501
441,0.00276748438275458,0.6444905907505591,2.6116249731424737,2.539364135865139,2.477269333926938,5683.672994317274
442,0.0027678362737899444,0.6444226941929482,2.610710502000136,2.5389425093790066,2.4769867939181833,5683.672970621921
443,0.002767787341526264,0.6444113500997927,2.6105763964598605,2.5388748943305766,2.4769618305167675,5683.672972037669
444,0.0027678293691935398,0.644413173350196,2.610616936990059,2.538912577111429,2.47695711279753,5683.67295534414
445,0.0027681945529684847,0.6443385176130191,2.609636828721943,2.5384733275293065,2.47664951829834,5683.672925323523
446,0.002767810499606755,0.6442826762280335,2.609032327056374,2.5381793762445883,2.4765527210167555,5683.672918058108
447,0.002768002993679019,0.6441281971477698,2.6071153798266278,2.537300212423143,2.4760304323664166,5683.672872955078
448,0.002768092709136273,0.6444803750558971,2.611559127090908,2.53947333233888,2.4771039624952556,5683.672868154574
449,0.002768444641723401,0.6445615508674958,2.6126293610795455,2.540080070185479,2.4772779653131893,5683.672814140855
450,0.0027692236659959285,0.6440496377893941,2.6058603298195284,2.536725718268911,2.475541459159169,5683.672897247374
451,0.0027688935349806302,0.6441888531649589,2.6078030220738793,2.5377334105452234,2.476032562444417,5683.672812802773
452,0.0027694467974876775,0.6440776335074019,2.6064174399483244,2.537162861122087,2.475568059152054,5683.672760386693
453,0.0027694889157273265,0.6440395192578475,2.6059529947030087,2.536954176673001,2.475440241587511,5683.672747372465
454,0.0027703156066989773,0.643848017237465,2.6035774931511444,2.5359605943204873,2.474667327566779,5683.672696789809
455,0.002769978982353334,0.6439274772408836,2.604602155046854,2.5364181017925116,2.474984565060294,5683.672688675547
456,0.0027708716283529884,0.6437220553952946,2.6020884618334583,2.5353911129984743,2.474152508219071,5683.672641382498
457,0.0027696085906978073,0.6440852154004771,2.606865970063877,2.537631269695498,2.4755365773506925,5683.672540792904
458,0.0027698010731126233,0.6441030049430085,2.607368935711012,2.538084166624292,2.475534136450064,5683.672369386231
459,0.002771549797144876,0.6439965861854695,2.6057124009956,2.537370223109809,2.4748492501623556,5683.672613057965
460,0.0027723504925754707,0.6433379169536851,2.597457192801707,2.5335113871834,2.472632609967489,5683.672618492196
461,0.0027725091957764725,0.6435254077178745,2.6000637693185324,2.534963602430711,2.473166473399974,5683.672494438102
462,0.002772517345190207,0.6436258643885105,2.6014941903489017,2.5357665205598927,2.4734663535168195,5683.672405964482
463,0.002772619421532424,0.6437133275021641,2.602745075002001,2.536486298523318,2.4737065643948695,5683.67234588177
464,0.0027734937315019807,0.6437089635999753,2.603073443717527,2.5370340686762707,2.4734836226251913,5683.6722888834865
465,0.002771597453288376,0.6442462583384388,2.6096393986659545,2.5397794169478876,2.4755678498630544,5683.672221213261
