lon,lat,no,val,err
102.26,28.735,51000700,-11.591589,13.1543833
102.26,28.735,51000700,-11.591589,13.1543833
102.18,28.446,51001100,-14.392987,15.19797684
102.178,28.257,51001300,-0.225867,15.84171708
102.186,28.144,51001500,-29.391307,16.3792857
102.517,27.442,51004400,-39.905517,20.67118042
102.456,27.533,51004500,-45.513204,20.2119618
102.428,27.625,51004600,-33.764706,19.63941191
101.77,30.069,51006601,37.940558,11.80970787
101.61,30.076,51006702,24.291229,12.20495801
101.54,30.034,51006800,17.623279,12.40977437
102.361,29.239,51011101,-4.276221,10.75980018
101.505,29.137,51015400,-35.39892,14.8364214
101.504,29.005,51015500,-20.147248,14.9699332
101.53,30.289,51015703,39.874283,13.48467649
101.179,30.941,51016300,35.225251,16.51138092
103.881,30.813,51030000,-7.383235,14.75963753
103.591,30.977,51030100,4.149319,15.70726265
103.48,31.098,51030200,12.458005,15.88413674
103.475,31.326,51030300,-15.434011,15.88413674
103.567,31.46,51030400,10.282219,15.68593
103.789,31.629,51030500,-22.757183,16.23044362
104.099,31.779,51030600,-14.179409,16.61246821
104.294,31.863,51030700,0.109545,16.83176164
104.503,31.86,51030800,-4.786262,16.89551716
104.685,31.679,51030900,-18.166206,16.81762171
104.726,31.44,51031000,-26.220438,16.59138331
104.443,31.283,51031100,-12.472944,16.20241031
104.524,31.152,51031200,5.073463,15.65070286
104.198,30.883,51031300,16.978882,14.90823262
103.886,30.444,51031400,16.379271,13.16132592
103.478,30.415,51031500,5.933405,12.16408648
103.215,30.146,51031600,18.652939,10.93366361
103.011,29.981,51031700,24.375625,9.356436287
102.908,30.091,51031800,30.434333,10.77092847
102.918,30.157,51031900,20.856812,11.82448308
102.783,30.335,51032000,16.829428,12.60242834
102.883,30.472,51032100,30.367549,13.16108278
102.758,30.663,51032200,5.740777,13.52872869
102.637,30.966,51032300,13.022983,13.71255264
102.406,31.019,51032400,14.060796,13.72647442
102.479,31.287,51032500,14.571245,14.36301152
102.489,31.485,51032600,8.958798,14.80136818
102.324,31.661,51032700,24.966343,15.06286825
102.288,31.865,51032800,2.631281,15.15468574
102.629,31.865,51032900,21.526241,15.52254167
102.78,31.663,51033000,42.198387,15.77031388
102.907,31.532,51033100,-1.231764,15.90475715
103.091,31.4,51033200,32.757338,15.94740418
103.337,31.571,51033300,24.37918,15.86256284
102.13,31.018,51033400,22.422278,14.13655191
101.879,30.883,51033500,26.722532,14.35563304
101.745,30.722,51033600,37.666469,14.3978679
100.929,31.144,51033700,44.443402,16.96367
100.929,31.939,51034000,56.606049,17.52941813
101.11,31.896,51034100,62.194444,17.26801668
101.553,31.795,51034300,30.152852,16.44118305
101.907,31.818,51034400,7.041791,15.86155415
102.772,30.052,51034500,58.901235,8.238889488
102.453,30.005,51034600,33.604789,6.449573629
