lon,lat,no,val,err
102.26,28.735,51000700,48.616335,10.94126592
102.26,28.735,51000700,48.616335,10.94126592
102.18,28.446,51001100,9.707434,12.52186088
102.178,28.257,51001300,40.627761,13.03466148
102.186,28.144,51001500,1.773502,13.46306429
102.324,27.32,51002300,-28.292557,15.99028768
102.284,27.194,51002400,-39.399474,16.30692184
102.252,27.105,51002500,-30.548051,16.5040904
102.245,26.651,51002900,-55.306163,16.59055454
102.517,27.442,51004400,-16.507664,16.87324806
102.456,27.533,51004500,-18.881804,16.51494475
102.428,27.625,51004600,-12.671366,16.06320329
101.834,30.042,51006501,-16.634387,9.063801631
101.77,30.069,51006601,-22.183964,9.581737838
101.61,30.076,51006702,-12.525957,9.926983429
101.54,30.034,51006800,-20.299401,10.11273455
102.361,29.239,51011101,1.544171,9.011132004
101.505,29.137,51015400,-4.081373,11.98853619
101.53,30.289,51015703,-12.288362,11.00202254
101.179,30.941,51016300,12.761557,13.32758418
100.729,31.337,51016600,8.540119,14.21486898
103.881,30.813,51030000,-31.641575,12.09580506
103.591,30.977,51030100,3.073166,12.85561745
103.48,31.098,51030200,39.994316,12.99849991
103.475,31.326,51030300,34.243083,12.99849991
103.567,31.46,51030400,12.211556,12.83804113
103.789,31.629,51030500,-3.429604,13.27144679
104.099,31.779,51030600,-26.305046,13.57958026
104.294,31.863,51030700,-10.056306,13.75837927
104.503,31.86,51030800,-31.824957,13.81188257
104.198,30.883,51031300,-15.502761,12.21632105
103.886,30.444,51031400,11.888508,10.81338522
103.478,30.415,51031500,-24.360292,10.01882728
103.215,30.146,51031600,8.053012,9.04098446
103.011,29.981,51031700,2.704597,7.788408053
102.908,30.091,51031800,-18.491652,8.911930206
102.918,30.157,51031900,-4.112919,9.742053172
102.783,30.335,51032000,3.463919,10.36264928
102.883,30.472,51032100,-3.76434,10.80946345
102.758,30.663,51032200,-36.545515,11.09990991
102.637,30.966,51032300,-23.040575,11.24755084
102.406,31.019,51032400,-7.805717,11.25238197
102.479,31.287,51032500,-8.564673,11.76144974
102.489,31.485,51032600,5.408813,12.11019405
102.324,31.661,51032700,-4.382711,12.31610328
