lon,lat,no,val,err
102.26,28.735,51000700,25.260331,11.61782252
102.26,28.735,51000700,25.260331,11.61782252
102.18,28.446,51001100,-19.626142,13.32973368
102.178,28.257,51001300,14.344819,13.88115269
102.186,28.144,51001500,-16.900748,14.34409286
102.324,27.32,51002300,-30.199784,17.14539297
102.252,27.105,51002500,-30.052931,17.71731639
102.245,26.651,51002900,-49.110345,17.8417544
102.602,26.658,51003300,-49.063495,18.50313757
102.626,26.704,51003400,-43.868266,18.71355658
102.727,26.793,51003600,-28.997835,18.84142245
102.517,27.442,51004400,-36.290051,18.0642077
102.456,27.533,51004500,-37.416687,17.66132781
102.428,27.625,51004600,-16.049033,17.16739351
101.834,30.042,51006501,-11.701016,9.710046344
101.77,30.069,51006601,-20.115404,10.25219976
101.61,30.076,51006702,-18.857977,10.60695055
101.54,30.034,51006800,-36.853734,10.79960184
102.361,29.239,51011101,1.241005,9.404945508
101.505,29.137,51015400,-43.632057,12.78759555
101.53,30.289,51015703,-20.410213,11.74225277
101.179,30.941,51016300,62.497867,14.27294644
103.881,30.813,51030000,-18.892842,12.67559861
103.591,30.977,51030100,0.747885,13.51837268
103.48,31.098,51030200,49.048229,13.73160588
103.475,31.326,51030300,-3.589169,13.7761025
103.567,31.46,51030400,29.875448,13.64627422
103.789,31.629,51030500,22.620411,14.14881267
104.099,31.779,51030600,-2.768166,14.61844383
104.294,31.863,51030700,-1.143619,14.80683964
104.503,31.86,51030800,-44.392727,14.87650833
104.685,31.679,51030900,-40.53961,14.81595424
104.726,31.44,51031000,-37.858842,14.63335915
104.443,31.283,51031100,-24.653166,14.31822964
104.198,30.883,51031300,-19.222012,13.2596003
103.886,30.444,51031400,29.590013,11.51448653
103.478,30.415,51031500,-4.166322,10.65499413
103.215,30.146,51031600,36.67229,9.607132767
103.011,29.981,51031700,20.912772,8.254774376
102.908,30.091,51031800,7.957254,9.468690511
102.918,30.157,51031900,6.760057,10.36984089
102.783,30.335,51032000,39.80578,11.04081972
