lon,lat,no,val,err
102.26,28.735,51000700,-24.868205,13.41383241
102.26,28.735,51000700,-24.868205,13.41383241
102.18,28.446,51001100,-16.306888,15.32359292
102.178,28.257,51001300,-14.86587,15.9462378
102.186,28.144,51001500,-32.07227,16.45583483
102.324,27.32,51002300,-19.37181,19.73536166
102.284,27.194,51002400,-38.086491,20.12430371
102.252,27.105,51002500,-39.053946,20.37883706
102.245,26.651,51002900,-37.806671,20.52025828
102.44,26.562,51003100,-40.881483,20.92331953
102.602,26.658,51003300,-42.296969,21.22746334
102.626,26.704,51003400,-23.588335,21.43977612
102.727,26.793,51003600,-28.919503,21.56010436
102.846,26.942,51003900,-47.972838,21.57455214
102.877,26.965,51004000,-46.62559,21.49009307
102.517,27.442,51004400,-21.776864,20.68510817
102.456,27.533,51004500,-24.638827,20.22586957
102.428,27.625,51004600,-21.15985,19.66025941
101.834,30.042,51006501,28.130099,11.14551928
101.77,30.069,51006601,8.493641,11.74540336
101.61,30.076,51006702,-3.053512,12.14104197
101.54,30.034,51006800,-3.507537,12.3461168
102.361,29.239,51011101,-34.618541,10.82172814
101.505,29.137,51015400,-22.130473,14.67959809
101.504,29.005,51015500,-27.175636,14.85631516
101.53,30.289,51015703,29.572476,13.40749044
101.179,30.941,51016300,19.601486,15.79433443
100.729,31.337,51016600,38.774052,17.01418526
103.881,30.813,51030000,7.626022,14.68346008
103.591,30.977,51030100,3.064852,15.62415118
103.48,31.098,51030200,16.243514,15.80104427
103.475,31.326,51030300,-9.722564,15.80104427
103.567,31.46,51030400,-4.238139,15.6027818
103.789,31.629,51030500,-24.237125,16.14036555
104.099,31.779,51030600,-20.478304,16.515523
104.294,31.863,51030700,-5.026841,16.73483194
104.503,31.86,51030800,4.043322,16.8055229
104.685,31.679,51030900,-1.058544,16.72759696
104.726,31.44,51031000,-7.030062,16.50138479
104.443,31.283,51031100,16.912423,16.11932071
104.524,31.152,51031200,20.220949,15.56759776
104.198,30.883,51031300,16.482142,14.83207673
103.886,30.444,51031400,-0.126883,13.09207776
103.478,30.415,51031500,7.146279,12.10173954
103.215,30.146,51031600,9.149964,10.87828111
103.011,29.981,51031700,25.919151,9.307942845
102.908,30.091,51031800,20.507732,10.72243443
102.918,30.157,51031900,16.63273,11.7620959
102.783,30.335,51032000,20.116112,12.54003589
102.883,30.472,51032100,13.682674,13.09867169
102.758,30.663,51032200,-3.128884,13.46628382
102.637,30.966,51032300,-4.341667,13.65009157
102.406,31.019,51032400,7.531382,13.66394526
102.479,31.287,51032500,16.456838,14.28664411
102.489,31.485,51032600,-2.020751,14.71111145
102.324,31.661,51032700,13.335975,14.95177581
102.288,31.865,51032800,-13.254855,15.02969394
102.629,31.865,51032900,3.765459,15.39761345
102.78,31.663,51033000,20.331856,15.65933587
102.907,31.532,51033100,-4.671552,15.8007215
103.091,31.4,51033200,14.767116,15.84345922
103.337,31.571,51033300,27.23011,15.77244433
102.13,31.018,51033400,11.277338,14.07399019
101.879,30.883,51033500,29.487078,14.29302277
101.745,30.722,51033600,43.398987,14.33519096
100.929,31.144,51033700,27.654422,16.31618828
100.693,31.522,51033800,45.156134,17.29564396
100.929,31.939,51034000,44.422338,17.18139983
101.11,31.896,51034100,34.997349,16.97586522
101.312,31.778,51034200,46.069629,16.66414114
101.553,31.795,51034300,16.570009,16.23966133
101.907,31.818,51034400,-6.23371,15.6948431
102.772,30.052,51034500,52.739049,8.204194049
102.453,30.005,51034600,20.869797,6.428724601
102.158,30.053,51034700,12.373075,7.499466648
101.956,30.027,51034800,21.76777,10.29332308
101.484,30.116,51034900,7.333522,12.95447413
101.534,30.441,51035000,53.729061,13.87505676
102.198,29.655,51035100,0.940646,6.464209155
102.277,29.321,51035200,-5.210721,9.520021008
102.338,29.137,51035300,-39.006669,11.86768722
102.126,28.514,51035400,-9.198356,14.18462548
101.923,28.325,51035500,-1.469024,14.54527071
101.943,28.6,51035600,-4.568716,14.78568565
101.678,28.615,51035700,-14.988584,14.91292393
101.675,28.761,51035800,-18.752913,14.94118135
101.493,29.342,51035900,-15.407531,14.38289262
101.368,29.623,51036000,2.563604,13.72516302
101.558,29.846,51036100,-0.225222,13.11698517
103.17,29.911,51036200,16.621081,10.39758626
103.43,29.888,51036300,6.391409,11.15521851
103.577,29.778,51036400,5.585111,11.65806159
103.454,29.572,51036500,15.920051,11.92748926
103.317,29.407,51036600,12.397319,11.98540779
103.177,29.223,51036700,38.106797,11.83828113
102.916,29.278,51036800,49.710891,11.65073388
103.079,29.018,51037000,32.266795,13.01814887
103.043,28.847,51037100,28.10061,14.00757652
103.127,28.602,51037200,27.778074,14.84157674
103.129,28.33,51037300,23.661313,15.54112287
103.001,28.178,51037400,26.641758,16.12073509
102.837,28.015,51037500,27.808334,16.60103912
102.601,27.893,51037600,9.078113,16.98965568
102.179,28.001,51037700,-12.545855,16.88045319
102.201,27.57,51037800,-15.625915,18.51928994
102.188,27.427,51037900,-14.9012,19.20502538
101.928,26.537,51038000,-41.236339,21.05171014
101.677,26.557,51038100,-39.734688,21.41435033
101.591,26.596,51038200,-25.078333,21.48436641
101.569,26.718,51038300,-18.021367,21.45587565
101.443,26.958,51038400,-20.878706,21.33578449
101.3,27.11,51038500,-18.063768,21.13107664
101.321,27.308,51038600,-9.856456,20.80684983
101.514,27.42,51038700,-9.840884,20.17564125
101.808,27.615,51038800,-22.176659,19.60418833
101.961,27.719,51038900,-53.212369,18.91345024
102.596,27.262,51039000,-30.698912,21.04559336
101.404,30.623,51039500,11.861806,14.75244387
101.551,30.356,51039800,51.525751,13.71194005
102.174,29.467,51052100,-12.505919,8.310385069
102.226,29.796,51052402,1.841688,2.969848481
102.173,30.117,51052602,-14.058294,9.135874342
104.065,30.639,51060002,-5.798174,13.88415284
103.757,30.91,51060301,27.492923,15.25655597
102.217,28.57,51065100,-16.690837,13.69667478
102.203,28.549,51065300,-14.973789,14.58078873
102.316,27.781,51067701,-25.438819,18.16811768
102.341,27.741,51067900,-32.346369,18.9743432
100.75,31.297,51068400,46.434148,16.71780189
101.5,30.537,51083800,48.994749,14.19355135
100.68,31.401,51084800,41.657681,17.20437154
102.296,29.268,51085300,-14.680332,10.32655799
102.228,27.911,51087200,-13.139251,17.2061181
102.278,28.808,51087400,-18.884839,12.9473588
102.101,27.882,51087900,-19.789057,19.16559939
102.168,27.909,51088100,-17.824089,18.21772763
102.22,27.902,51088200,-5.075674,17.4539222
102.252,27.865,51088300,-12.433329,17.62410281
102.294,27.887,51088400,-17.670312,17.70920665
102.324,27.88,51088500,-2.310352,17.71669552
102.361,27.889,51088600,-0.517354,17.66043318
102.38,27.878,51088700,12.471484,17.51935216
102.421,27.864,51088800,15.155751,17.2934583
102.714,27.022,51088900,-48.965181,22.92651304
102.716,27.034,51089000,-40.986992,22.13424948
102.738,27.064,51089100,-41.850722,21.31371859
