lon,lat,no,val,err
102.26,28.735,51000700,8.715629,11.33551058
102.26,28.735,51000700,8.715629,11.33551058
102.18,28.446,51001100,-16.480476,12.99560695
102.178,28.257,51001300,15.855504,13.53159636
102.186,28.144,51001500,-27.360349,13.97333532
102.324,27.32,51002300,-35.076215,16.59646047
102.284,27.194,51002400,-42.304752,16.93235069
102.252,27.105,51002500,-47.879662,17.14022754
102.245,26.651,51002900,-49.224647,17.23936484
102.602,26.658,51003300,-37.529447,17.87031057
102.626,26.704,51003400,-30.466192,18.06509341
102.727,26.793,51003600,-35.216666,18.17630601
102.517,27.442,51004400,-12.520958,17.49208964
102.456,27.533,51004500,-25.825237,17.11264153
102.428,27.625,51004600,-19.745185,16.6356635
101.834,30.042,51006501,7.910135,9.457214178
101.77,30.069,51006601,-7.275239,9.985349268
101.61,30.076,51006702,-4.430461,10.33698699
101.54,30.034,51006800,-31.792764,10.52544536
102.361,29.239,51011101,11.426751,9.21566601
101.505,29.137,51015400,-21.721025,12.5061145
101.53,30.289,51015703,-16.247584,11.44942357
101.179,30.941,51016300,18.540883,13.88706592
100.729,31.337,51016600,45.892097,14.81114445
103.881,30.813,51030000,-16.239919,12.38391295
103.591,30.977,51030100,-1.955594,13.22967876
103.48,31.098,51030200,26.43505,13.3979476
103.475,31.326,51030300,-17.809051,13.40839289
103.567,31.46,51030400,13.6222,13.27548116
103.789,31.629,51030500,2.947118,13.77043935
104.099,31.779,51030600,-1.414601,14.22134312
104.294,31.863,51030700,3.622447,14.41000347
104.503,31.86,51030800,-34.938857,14.47912981
104.685,31.679,51030900,-44.732158,14.41789166
104.726,31.44,51031000,-36.243418,14.24557826
104.443,31.283,51031100,-28.13003,13.93457929
104.198,30.883,51031300,-3.499178,12.89955426
103.886,30.444,51031400,32.117487,11.22683393
103.478,30.415,51031500,-1.940892,10.39937017
103.215,30.146,51031600,18.772411,9.378000853
103.011,29.981,51031700,-5.133998,8.068172036
102.908,30.091,51031800,-4.403242,9.244679551
102.918,30.157,51031900,-9.345325,10.11337728
102.783,30.335,51032000,13.064,10.76828677
102.883,30.472,51032100,10.048387,11.23455384
102.758,30.663,51032200,-22.267986,11.53440506
102.637,30.966,51032300,9.186045,11.687027
102.406,31.019,51032400,15.40835,11.69241207
102.479,31.287,51032500,21.546845,12.22005319
102.489,31.485,51032600,34.953779,12.57823517
102.324,31.661,51032700,27.351165,12.78915556
102.288,31.865,51032800,25.744935,12.861248
102.629,31.865,51032900,42.640307,13.16426223
102.78,31.663,51033000,66.347182,13.3729877
102.907,31.532,51033100,-0.318368,13.47894655
103.091,31.4,51033200,62.175435,13.51285314
103.337,31.571,51033300,42.580066,13.43547915
102.13,31.018,51033400,12.167672,12.0390905
101.879,30.883,51033500,16.149805,12.22473313
101.745,30.722,51033600,6.552207,12.26318474
100.929,31.144,51033700,39.030174,14.28387902
100.693,31.522,51033800,34.258948,14.99724308
100.729,31.874,51033900,38.366793,14.94780586
100.929,31.939,51034000,20.782713,14.81796207
101.11,31.896,51034100,44.176561,14.60768291
101.312,31.778,51034200,69.975003,14.30851495
101.553,31.795,51034300,28.619642,13.92885135
101.907,31.818,51034400,-6.592133,13.44643447
102.772,30.052,51034500,33.65054,7.14467634
102.453,30.005,51034600,25.544911,5.679876759
102.158,30.053,51034700,49.770434,6.228523099
101.956,30.027,51034800,14.047948,8.701293007
101.484,30.116,51034900,-48.661884,11.0497285
101.534,30.441,51035000,-4.222718,11.8443953
102.198,29.655,51035100,15.05018,5.710131347
102.277,29.321,51035200,2.92512,8.113223774
102.338,29.137,51035300,23.394617,10.09966336
102.126,28.514,51035400,-16.441589,12.02629203
101.923,28.325,51035500,20.005474,12.34241873
101.943,28.6,51035600,-18.344737,12.56137731
101.678,28.615,51035700,23.91975,12.67773245
101.675,28.761,51035800,4.925958,12.7137288
101.493,29.342,51035900,26.647713,12.19257561
101.368,29.623,51036000,26.4141,11.69872215
101.558,29.846,51036100,-12.431336,11.18279035
